Domanda,Opzione A,Opzione B,Opzione C,Risposta corretta
La prevenzione di un incendio in un luogo di lavoro può essere ottenuta ,solo riducendo gli inneschi efficaci,solo riducendo il quantitativo di materiale combustibile presente negli ambienti,anche riducendo gli inneschi efficaci e il quantitativo di materiale combustibile presente negli ambienti,anche riducendo gli inneschi efficaci e il quantitativo di materiale combustibile presente negli ambienti
"Il controllo e la manutenzione regolare dei sistemi, dispositivi, attrezzature e degli impianti rilevanti ai fini della sicurezza antincendio (es: impianti elettrici, adduzione gas, impianti termici, ecc)",rientrano fra le azioni necessarie per prevenire l’insorgere di incendi,sono misure gestionali che non incidono sulla probabilità di accadimento di un incendio,Il controllo e la manutenzione non rientrano fra le attività finalizzate alla sicurezza antincendio,rientrano fra le azioni necessarie per prevenire l’insorgere di incendi
La gestione dei lavori di manutenzione o di modifica dell’attività (cantieri),rientra fra le azioni necessarie per prevenire l’insorgere di incendi,è una misura gestionale che non incide sulla probabilità di accadimento di un incendio,La pianificazione e gestione dei lavori all’interno dei luoghi di lavoro non rientrano fra le attività finalizzate alla sicurezza antincendio,rientra fra le azioni necessarie per prevenire l’insorgere di incendi
"In attività lavorative, la formazione ed informazione del personale ai rischi specifici dell’attività ",è una misura di prevenzione incendi,è una misura di protezione incendi,Non è una misura che contribuisce alla mitigazione del rischio incendio,è una misura di prevenzione incendi
L’adozione di istruzioni e segnaletiche contenenti i divieti e le precauzioni da osservare,è una misura di prevenzione incendi,è una misura di protezione incendi,Non è una misura che contribuisce alla mitigazione del rischio incendio,è una misura di prevenzione incendi
"La progettazione e realizzazione a regola d’arte degli impianti tecnologici e di servizio (impianti elettrici, gas, riscaldamento, eccc) può essere considerata una misura di prevenzione degli incendi","Si, perché la progettazione e realizzazione deve essere effettuata in modo da limitare la probabilità di costituire causa di incendio ed esplosione","No, poiché la progettazione e realizzazione ha come obiettivo quello di limitare solo la propagazione di un incendio ",La progettazione e realizzazione di impianti tecnologici e di servizio non influisce sul rischio incendio dell’attività lavorativa,"Si, perché la progettazione e realizzazione deve essere effettuata in modo da limitare la probabilità di costituire causa di incendio ed esplosione"
"In un luogo di lavoro, per mantenere nel tempo il livello di sicurezza antincendio realizzato, è necessario organizzare un adeguato controllo degli ambienti (verificare che i percorsi di esodo siano sempre fruibili e liberi da ostacoli, verificare il funzionamento dei dispositivi di apertura delle porte, ecc)","Si, la verifica delle condizioni di esercizio stabilite nella progettazione della sicurezza è fondamentale ai fini della mitigazione del rischio incendio","No, il controllo degli ambienti di lavoro non influisce sulla sicurezza antincendio dell’attività ","No, il datore di lavoro ha solo l’obbligo di fare manutenzione agli impianti e alle attrezzature antincendio","Si, la verifica delle condizioni di esercizio stabilite nella progettazione della sicurezza è fondamentale ai fini della mitigazione del rischio incendio"
La segnaletica di sicurezza contribuisce alla prevenzione e protezione dai rischi di incendio,"Si, l’adozione della segnaletica di sicurezza favorisce la corretta gestione dell’attività anche ai fini della sicurezza antincendio","No, la segnaletica è facoltativa e non contribuisce a mitigare il rischio incendio ","No, la segnaletica ha la finalità di prevenire solo i rischi per la salute delle persone","Si, l’adozione della segnaletica di sicurezza favorisce la corretta gestione dell’attività anche ai fini della sicurezza antincendio"
La segnaletica di sicurezza contribuisce alla prevenzione e protezione dai rischi di incendio,"una segnaletica che, riferita ad un oggetto, ad un’attività o ad una situazione determinata, fornisce un’indicazione o una prescrizione concernente la sicurezza, e che utilizza, a seconda dei casi, un cartello, un colore, un segnale luminoso o acustico, una comunicazione verbale o un segnale gestuale",una segnaletica che prescrive un determinato comportamento,un segnale che vieta un comportamento che potrebbe far correre o causare un pericolo,"una segnaletica che, riferita ad un oggetto, ad un’attività o ad una situazione determinata, fornisce un’indicazione o una prescrizione concernente la sicurezza, e che utilizza, a seconda dei casi, un cartello, un colore, un segnale luminoso o acustico, una comunicazione verbale o un segnale gestuale"
"Con riferimento al Dlgs 81/2008, cosiddetto “Testo Unico Sicurezza Lavoratori”, con segnale di divieto intendiamo",un segnale che avverte di un rischio o pericolo,una segnaletica che prescrive un determinato comportamento,un segnale che vieta un comportamento che potrebbe far correre o causare un pericolo,un segnale che vieta un comportamento che potrebbe far correre o causare un pericolo
"Con riferimento al Dlgs 81/2008, cosiddetto “Testo Unico Sicurezza Lavoratori”, con segnale di avvertimento intendiamo",un segnale che avverte di un rischio o pericolo,una segnaletica che prescrive un determinato comportamento,un segnale che vieta un comportamento che potrebbe far correre o causare un pericolo,un segnale che avverte di un rischio o pericolo
"Con riferimento al Dlgs 81/2008, cosiddetto “Testo Unico Sicurezza Lavoratori”, con segnale di prescrizione intendiamo",un segnale che avverte di un rischio o pericolo,una segnaletica che prescrive un determinato comportamento,un segnale che vieta un comportamento che potrebbe far correre o causare un pericolo,una segnaletica che prescrive un determinato comportamento
"Con riferimento al Dlgs 81/2008, cosiddetto “Testo Unico Sicurezza Lavoratori”, con segnale di con segnale di salvataggio e soccorso intendiamo",un segnale che avverte di un rischio o pericolo,un segnale che fornisce indicazioni relative alle uscite di sicurezza o ai mezzi di soccorso o di salvataggio,un segnale che vieta un comportamento che potrebbe far correre o causare un pericolo,un segnale che fornisce indicazioni relative alle uscite di sicurezza o ai mezzi di soccorso o di salvataggio
"Con riferimento al Dlgs 81/2008, cosiddetto “Testo Unico Sicurezza Lavoratori”, le forme e i colori utilizzati per i cartelli di sicurezza da impiegare nei luoghi di lavoro","Sono puntualmente definiti nel DLgs 81/2008 in funzione del loro oggetto specifico e delle indicazioni fornite (cartelli di divieto, di avvertimento, di prescrizione, di salvataggio e per le attrezzature antincendio)",Sono scelti dal Datore di Lavoro,Sono scelti dal professionista incaricato della valutazione del rischio,"Sono puntualmente definiti nel DLgs 81/2008 in funzione del loro oggetto specifico e delle indicazioni fornite (cartelli di divieto, di avvertimento, di prescrizione, di salvataggio e per le attrezzature antincendio)"
"Con riferimento al Dlgs 81/2008, cosiddetto “Testo Unico Sicurezza Lavoratori”, i cartelli di sicurezza di forma “rotonda”, con pittogramma nero su fondo bianco e boro e banda (verso il basso da sinistra a destra, inclinata di 45°) rossi sono",Segnali di avvertimento,Segnali di prescrizione ,segnali di divieto,segnali di divieto
"Con riferimento al Dlgs 81/2008, cosiddetto “Testo Unico Sicurezza Lavoratori”, il seguente cartello","È un cartello di divieto, che segnala il divieto di usare fiamme libere","E’ un cartello di prescrizione, che prescrive di non usare fiamme libere","E’ un cartello di avvertimento, che avverte che è pericoloso utilizzare fiamme libere","È un cartello di divieto, che segnala il divieto di usare fiamme libere"
"Con riferimento al Dlgs 81/2008, cosiddetto “Testo Unico Sicurezza Lavoratori”, il seguente cartello","È un cartello di divieto, che segnala il divieto di utilizzare acqua per spegnere le fiamme","E’ un cartello di prescrizione, che prescrive di non usare acqua per spegnere un fuoco","E’ un cartello di avvertimento, che avverte che è pericoloso utilizzare acqua per spegnere un fuoco","È un cartello di divieto, che segnala il divieto di utilizzare acqua per spegnere le fiamme"
"Con riferimento al Dlgs 81/2008, cosiddetto “Testo Unico Sicurezza Lavoratori”, i cartelli di sicurezza di forma “triangolare”, con pittogramma nero su fondo giallo e bordo nero sono ",Segnali di avvertimento,Segnali di prescrizione ,segnali di divieto,Segnali di avvertimento
"Con riferimento al Dlgs 81/2008, cosiddetto “Testo Unico Sicurezza Lavoratori”, il seguente cartello","È un cartello di avvertimento, che segnala un pericolo generico","E’ un cartello di prescrizione, che prescrive un pericolo generico","E’ un cartello di divieto, che segnala un divieto generico","È un cartello di avvertimento, che segnala un pericolo generico"
"Con riferimento al Dlgs 81/2008, cosiddetto “Testo Unico Sicurezza Lavoratori”, il seguente cartello","È un cartello di avvertimento, che segnala la presenza di sostanze infiammabili","E’ un cartello di prescrizione, che prescrive l’uso di sostanze infiammabili","E’ un cartello di divieto, che vieta l’uso di sostanze infiammabili","È un cartello di avvertimento, che segnala la presenza di sostanze infiammabili"
"Con riferimento al Dlgs 81/2008, cosiddetto “Testo Unico Sicurezza Lavoratori”, il seguente cartello","È un cartello di avvertimento, che segnala l’esposizione ad un rischio elettrico","E’ un cartello di prescrizione, che prescrive l’uso di apparecchiature alimentate elettricamente","E’ un cartello di divieto, che vieta l’uso di apparecchiature alimentate elettricamente","È un cartello di avvertimento, che segnala l’esposizione ad un rischio elettrico"
"Con riferimento al Dlgs 81/2008, cosiddetto “Testo Unico Sicurezza Lavoratori”, i cartelli di sicurezza di forma “rotonda”, con pittogramma bianco su fondo azzurro sono",Segnali di avvertimento,Segnali di prescrizione ,segnali di divieto,Segnali di prescrizione 
"Con riferimento al Dlgs 81/2008, cosiddetto “Testo Unico Sicurezza Lavoratori”, il seguente cartello","È un cartello di avvertimento, che segnala il pericolo per le vie respiratorie","E’ un cartello di prescrizione, che prescrive l’obbligo di protezione delle vie respiratorie","E’ un cartello di divieto, che vieta l’utilizzo di dispositivi di protezione delle vie respiratorie","E’ un cartello di prescrizione, che prescrive l’obbligo di protezione delle vie respiratorie"
"Con riferimento al Dlgs 81/2008, cosiddetto “Testo Unico Sicurezza Lavoratori”, il seguente cartello","È un cartello di avvertimento, che segnala il pericolo per gli le mani","E’ un cartello di prescrizione, che prescrive l’obbligo di usare i guanti protettivi","E’ un cartello di divieto, che vieta l’utilizzo di guanti protettivi","E’ un cartello di prescrizione, che prescrive l’obbligo di usare i guanti protettivi"
"Con riferimento al Dlgs 81/2008, cosiddetto “Testo Unico Sicurezza Lavoratori”, i cartelli di sicurezza di forma “quadrata o rettangolare”, con pittogramma bianco su fondo verde sono",Segnali di salvataggio,Segnali di prescrizione ,segnali di divieto,Segnali di salvataggio
"Con riferimento al Dlgs 81/2008, cosiddetto “Testo Unico Sicurezza Lavoratori”, il seguente cartello","È un cartello di avvertimento, che avvisa che la via di esodo è a destra  ","E’ un cartello di salvataggio, che indica che la via di esodo è a destra ","E’ un cartello di salvataggio, che indica che a destra c’è una porta","E’ un cartello di salvataggio, che indica che la via di esodo è a destra "
"Con riferimento al Dlgs 81/2008, cosiddetto “Testo Unico Sicurezza Lavoratori”, il seguente cartello","È un cartello di avvertimento, che avvisa dove è il punto di raccolta  ","E’ un cartello di salvataggio, che indica il punto di raccolta ","E’ un cartello di salvataggio, che indica che al centro dell’ambiente in cui è collocato siamo al sicuro","E’ un cartello di salvataggio, che indica il punto di raccolta "
"Con riferimento al Dlgs 81/2008, cosiddetto “Testo Unico Sicurezza Lavoratori”, i cartelli di sicurezza di forma “quadrata o rettangolare”, con pittogramma bianco su fondo rosso sono",Segnali per le attrezzature antincendio,Segnali di divieto,segnali di salvataggio,Segnali per le attrezzature antincendio
"Con riferimento al Dlgs 81/2008, cosiddetto “Testo Unico Sicurezza Lavoratori”, il seguente cartello","È un cartello di avvertimento, che segnala il pericolo di incendio","E’ un cartello per le attrezzature antincendio, che segnala l’ubicazione di una lancia antincendio “naspo”","E’ un cartello di divieto, che vieta l’utilizzo di acqua sull’incendio","E’ un cartello per le attrezzature antincendio, che segnala l’ubicazione di una lancia antincendio “naspo”"
"Con riferimento al Dlgs 81/2008, cosiddetto “Testo Unico Sicurezza Lavoratori”, il seguente cartello","È un cartello di avvertimento, che segnala il pericolo di incendio","E’ un cartello per le attrezzature antincendio, che segnala l’ubicazione di una lancia antincendio “idrante”","E’ un cartello di divieto, che vieta l’utilizzo di acqua sull’incendio","E’ un cartello per le attrezzature antincendio, che segnala l’ubicazione di una lancia antincendio “idrante”"
"Con riferimento al Dlgs 81/2008, cosiddetto “Testo Unico Sicurezza Lavoratori”, il seguente cartello","È un cartello di avvertimento, che segnala il pericolo di incendio","E’ un cartello per le attrezzature antincendio, che segnala l’ubicazione di un “estintore”","E’ un cartello di divieto, che vieta l’utilizzo di estintori sull’incendio","E’ un cartello per le attrezzature antincendio, che segnala l’ubicazione di un “estintore”"
Il datore di lavoro è responsabile dell’effettuazione di controlli e manutenzione sui presidi antincendio al fine di garantirne la costante efficienza e il regolare funzionamento,"No, la responsabilità è della ditta incaricata dell’effettuazione della manutenzione","Si, l’attività di controllo e manutenzione sui presidi antincendio è obbligatoria al fine di garantire la costante efficienza ed il regolare funzionamento","No, l’attività di controllo e manutenzione dei presidi antincendio non è obbligatoria","Si, l’attività di controllo e manutenzione sui presidi antincendio è obbligatoria al fine di garantire la costante efficienza ed il regolare funzionamento"
"La manutenzione sui presidi antincendio, al fine di garantirne la costante efficienza e il regolare funzionamento, deve essere effettuata da personale qualificato ","No, la manutenzione dei presidi antincendio può essere effettuata da qualunque operatore che si dichiara idoneo ed esperto","Si, la qualificazione dei manutentori dei presidi antincendio garantisce l’effettiva efficacia di manutenzione e controlli","No, l’attività di manutenzione dei presidi antincendio non è necessaria per mantenere in efficienza i presidi antincendio","Si, la qualificazione dei manutentori dei presidi antincendio garantisce l’effettiva efficacia di manutenzione e controlli"
Con il termine “manutenzione” dei presidi antincendio intendiamo ,"un’operazione o un intervento finalizzato a mantenere in efficienza ed in buono stato, impianti, attrezzature e altri sistemi di sicurezza antincendio",un’operazione o un intervento finalizzato a garantire la corretta progettazione e installazione dei presidi antincendio,"Lo svolgimento dei controlli visivi dei presidi antincendio atti a verificare, che gli impianti, le attrezzature e gli altri sistemi di sicurezza antincendio siano nelle normali condizioni operative, siano correttamente fruibili e non presentino danni materiali evidenti","un’operazione o un intervento finalizzato a mantenere in efficienza ed in buono stato, impianti, attrezzature e altri sistemi di sicurezza antincendio"
Con “sorveglianza” dei presidi antincendio intendiamo ,"un’operazione o un intervento finalizzato a mantenere in efficienza ed in buono stato, impianti, attrezzature e altri sistemi di sicurezza antincendio",un’operazione o un intervento finalizzato a garantire la corretta progettazione e installazione dei presidi antincendio,"Lo svolgimento dei controlli visivi dei presidi antincendio atti a verificare, che gli impianti, le attrezzature e gli altri sistemi di sicurezza antincendio siano nelle normali condizioni operative, correttamente fruibili e non presentino danni materiali evidenti","Lo svolgimento dei controlli visivi dei presidi antincendio atti a verificare, che gli impianti, le attrezzature e gli altri sistemi di sicurezza antincendio siano nelle normali condizioni operative, correttamente fruibili e non presentino danni materiali evidenti"
Il tecnico manutentore qualificato è ,Una qualunque persona che ha esperienza nel campo della manutenzione,"È un tecnico abilitato (ingegnere, architetto, ecc)","Una persona fisica in possesso dei requisiti tecnico professionali previsti dal D.M 1 settembre 2021 (conoscenza, competenza, abilità)","Una persona fisica in possesso dei requisiti tecnico professionali previsti dal D.M 1 settembre 2021 (conoscenza, competenza, abilità)"
Il controllo periodico è ,L’insieme delle operazioni che devono essere effettuate quando si verifica un guasto ad un dispositivo di sicurezza antincendio,"Lo svolgimento dei controlli visivi dei presidi antincendio atti a verificare, che gli impianti, le attrezzature e gli altri sistemi di sicurezza antincendio siano nelle normali condizioni operative, siano correttamente fruibili e non presentino danni materiali evidenti","L’insieme di operazioni che devono essere effettuate con frequenza non superiore a quella indicata da disposizioni, norme, specifiche tecniche o manuali d'uso e manutenzione per verificare la completa e corretta funzionalità di impianti, attrezzature e altri sistemi di sicurezza antincendio","L’insieme di operazioni che devono essere effettuate con frequenza non superiore a quella indicata da disposizioni, norme, specifiche tecniche o manuali d'uso e manutenzione per verificare la completa e corretta funzionalità di impianti, attrezzature e altri sistemi di sicurezza antincendio"
Il controllo periodico dei presidi antincendio,"Può essere effettuato anche dai lavoratori normalmente presenti, dopo aver ricevuto adeguate istruzioni","Può essere effettuato anche dai lavoratori normalmente presenti, anche senza specifiche istruzioni","Può essere effettuato solo da un tecnico manutentore qualificato, in quanto presuppone un livello adeguato di competenze, conoscenze ed abilità","Può essere effettuato solo da un tecnico manutentore qualificato, in quanto presuppone un livello adeguato di competenze, conoscenze ed abilità"
La sorveglianza (controllo visivo) dei presidi antincendio,"Può essere effettuato anche dai lavoratori normalmente presenti, dopo aver ricevuto adeguate istruzioni","Può essere effettuato anche dai lavoratori normalmente presenti, anche senza specifiche istruzioni","Può essere effettuato solo da un tecnico manutentore qualificato, in quanto presuppone un livello adeguato di competenze, conoscenze ed abilità","Può essere effettuato anche dai lavoratori normalmente presenti, dopo aver ricevuto adeguate istruzioni"
Per “aree a rischio specifico” si intende:,ambito dell’attività caratterizzato da rischio di incendio sostanzialmente differente rispetto a quello tipico dell’attività,I locali dove sono installati gli impianti tecnologici e di servizio,solamente i luoghi dove possono formarsi atmosfere esplosive,ambito dell’attività caratterizzato da rischio di incendio sostanzialmente differente rispetto a quello tipico dell’attività
L’eventuale presenza di “aree a rischio specifico”,"deve essere individuata dal progettista della sicurezza antincendio sulla base delle regole tecniche di prevenzione incendi, della valutazione del rischio incendio e di alcuni criteri definiti dalle regole di progettazione generale della sicurezza antincendio","È individuata dal datore di lavoro, sulla base della sua esperienza",E’ individuata dal progettista della sicurezza antincendio solo sulla base della propria esperienza,"deve essere individuata dal progettista della sicurezza antincendio sulla base delle regole tecniche di prevenzione incendi, della valutazione del rischio incendio e di alcuni criteri definiti dalle regole di progettazione generale della sicurezza antincendio"
L’esplosione è:,la lacerazione improvvisa e fragorosa di un corpo solido e cavo per l'azione di un'eccessiva pressione dall'interno che ne vince la forza di coesione,un rumore secco e improvviso,il risultato di una rapida espansione di gas determinata da una reazione di combustione molto veloce.,il risultato di una rapida espansione di gas determinata da una reazione di combustione molto veloce.
Le atmosfere esplosive sono,"miscele di sostanze infiammabili allo stato di gas con l’aria, a condizioni atmosferiche, in cui, dopo l’accensione, la combustione si propaga nell’insieme della miscela incombusta","miscele di sostanze infiammabili allo stato di di polveri con l’aria, a condizioni atmosferiche, in cui, dopo l’accensione, la combustione si propaga nell’insieme della miscela incombusta","miscele di sostanze infiammabili allo stato di gas, vapori, nebbie o di polveri con l’aria, a condizioni atmosferiche, in cui, dopo l’accensione, la combustione si propaga nell’insieme della miscela incombusta ","miscele di sostanze infiammabili allo stato di gas, vapori, nebbie o di polveri con l’aria, a condizioni atmosferiche, in cui, dopo l’accensione, la combustione si propaga nell’insieme della miscela incombusta "
Le sostanze in grado di produrre esplosioni sono,Solo le miscele infiammabili di gas o vapori,Tutte le sostanze indicate negli altri due punti,Solo le polveri combustibili sospese in aria,Tutte le sostanze indicate negli altri due punti
Un’esplosione è chiamata deflagrazione quando:,L’esplosione è prodotta da sostanze esplosive,la reazione di combustione si propaga alla miscela infiammabile non ancora bruciata con una velocità minore di quella del suono,la reazione procede nella miscela non ancora bruciata con una velocità superiore a quella del suono (velocità di propagazione supersoniche dell’ordine del chilometro al secondo),la reazione di combustione si propaga alla miscela infiammabile non ancora bruciata con una velocità minore di quella del suono
Un’esplosione è chiamata detonazione quando:,L’esplosione è prodotta da sostanze esplosive,la reazione di combustione si propaga alla miscela infiammabile non ancora bruciata con una velocità minore di quella del suono ,la reazione procede nella miscela non ancora bruciata con una velocità superiore a quella del suono (velocità di propagazione supersoniche dell’ordine del chilometro al secondo),la reazione procede nella miscela non ancora bruciata con una velocità superiore a quella del suono (velocità di propagazione supersoniche dell’ordine del chilometro al secondo)
"Ai seni del DLgs 81/2008, il seguente segnale ",È un segnale di avvertimento per indicare le aree in cui possono formarsi atmosfere esplosive,È un segnale di pericolo per indicare aree dove possono formarsi atmosfere esplosive ,Non esiste,È un segnale di avvertimento per indicare le aree in cui possono formarsi atmosfere esplosive
La reazione al fuoco rappresenta,"il comportamento di un materiale che, con la sua decomposizione, partecipa al fuoco al quale è stato sottoposto in specifiche condizioni",grado di partecipazione di un materiale (o di un prodotto) al fuoco al quale è stato sottoposto,"la capacità portante in caso di incendio, per una struttura, per una parte della struttura o per un elemento  strutturale nonché la capacità di compartimentazione in caso di incendio per gli elementi di separazione strutturali (es. muri, solai, …) e non strutturali (es. porte, divisori, …).","il comportamento di un materiale che, con la sua decomposizione, partecipa al fuoco al quale è stato sottoposto in specifiche condizioni"
La misura antincendio “reazione al fuoco”,"È una misura di protezione passiva che esplica i suoi principali effetti nella fase iniziale dell’incendio, con l’obiettivo di limitare l’innesco dei materiali e la propagazione dell’incendio.","È una misura di protezione passiva che esplica i suoi principali effetti nella fase generalizzata dell’incendio, con l’obiettivo di limitare la propagazione dell’incendio","È una misura di protezione attiva che esplica i suoi principali effetti nella fase iniziale dell’incendio, con l’obiettivo di limitare l’innesco dei materiali e la propagazione dell’incendio.","È una misura di protezione passiva che esplica i suoi principali effetti nella fase iniziale dell’incendio, con l’obiettivo di limitare l’innesco dei materiali e la propagazione dell’incendio."
"Le classi di reazione al fuoco 1 IM, 2 IM e 3 IM",Esprimono la classificazione alla reazione al fuoco dei mobili imbottiti,Esprimono la classificazione alla reazione al fuoco dei prodotti da costruzione,Non esprimono una classificazione al fuoco per nessun materiale,Esprimono la classificazione alla reazione al fuoco dei mobili imbottiti
"Le classi di reazione al fuoco 0, 1, 2, 3, 4 e 5",Esprimono le classi italiane di reazione al fuoco dei materiali ,Esprimono le classi europee di reazione al fuoco dei materiali,Non esprimono una classificazione al fuoco per nessun materiale,Esprimono le classi italiane di reazione al fuoco dei materiali 
"Le classi di reazione al fuoco A1, A2, B, C, D, E ed F",Esprimono le classi italiane di reazione al fuoco dei materiali ,Esprimono le classi europee di reazione al fuoco dei prodotti da costruzione,Non esprimono una classificazione al fuoco per nessun materiale,Esprimono le classi europee di reazione al fuoco dei prodotti da costruzione
Le classi di reazione al fuoco ,"Sono determinate sperimentalmente, con prove di laboratorio ",Sono determinate dal progettista antincendio,Sono stabilite dal produttore del materiale sulla base di norme di buona progettazione,"Sono determinate sperimentalmente, con prove di laboratorio "
La Resistenza al fuoco rappresenta,"la capacità portante in caso di incendio, per una struttura, per una parte della struttura o per un elemento strutturale ","la capacità portante in caso di incendio, per una struttura, per una parte della struttura o per un elemento strutturale nonché la capacità di compartimentazione in caso di incendio per gli elementi di separazione strutturali (es. muri, solai, …) e non strutturali (es. porte, divisori, …).","la capacità di compartimentazione in caso di incendio per gli elementi di separazione strutturali (es. muri, solai, …) e non strutturali (es. porte, divisori, …).","la capacità portante in caso di incendio, per una struttura, per una parte della struttura o per un elemento strutturale nonché la capacità di compartimentazione in caso di incendio per gli elementi di separazione strutturali (es. muri, solai, …) e non strutturali (es. porte, divisori, …)."
La finalità della Resistenza al fuoco è,"quella di garantire la capacità portante delle strutture in condizioni di incendio nonché la capacità di compartimentazione, per un tempo minimo necessario al raggiungimento degli obiettivi di sicurezza di prevenzione incendi","quella di garantire la capacità portante delle strutture in condizioni di incendio nonché la capacità di compartimentazione, per tutta la durata dell’incendio","quella di garantire la capacità portante delle strutture in condizioni di incendio nonché la capacità di compartimentazione, il tempo sufficiente a garantire l’esodo delle persone","quella di garantire la capacità portante delle strutture in condizioni di incendio nonché la capacità di compartimentazione, per un tempo minimo necessario al raggiungimento degli obiettivi di sicurezza di prevenzione incendi"
"La Classe di Resistenza al fuoco (es: R 60, R 90, … ) è","intervallo di tempo espresso in minuti, definito in base al carico di incendio specifico di progetto, durante il quale il compartimento antincendio garantisce la resistenza al fuoco","intervallo di tempo espresso in secondi, definito in base al carico di incendio specifico di progetto, durante il quale il compartimento antincendio garantisce la resistenza al fuoco","intervallo di tempo espresso in ore, definito in base al carico di incendio specifico di progetto, durante il quale il compartimento antincendio garantisce la resistenza al fuoco","intervallo di tempo espresso in minuti, definito in base al carico di incendio specifico di progetto, durante il quale il compartimento antincendio garantisce la resistenza al fuoco"
"Con il simbolo R, utilizzato nella sigla REI (es: REI 60, REI 90), indichiamo la seguente prestazione di resistenza al fuoco","La capacità portante, cioè la capacità di un elemento strutturale di portare i carichi presenti in condizioni di incendio normalizzato, per un certo periodo di tempo","La tenuta, cioè la capacità di un elemento costruttivo o strutturale di impedire il passaggio di fumi e gas caldi per un certo periodo di tempo, in condizioni di incendio normalizzate","L’isolamento, cioè la capacità di un elemento costruttivo o strutturale di impedire il passaggio calore di un incendio normalizzato per un certo periodo di tempo","La capacità portante, cioè la capacità di un elemento strutturale di portare i carichi presenti in condizioni di incendio normalizzato, per un certo periodo di tempo"
"Con il simbolo E, utilizzato nella sigla REI (es: REI 60, REI 90), indichiamo la seguente prestazione di resistenza al fuoco","La capacità portante, cioè la capacità di un elemento strutturale di portare i carichi presenti in condizioni di incendio normalizzato, per un certo periodo di tempo","La tenuta, cioè la capacità di un elemento costruttivo o strutturale di impedire il passaggio di fumi e gas caldi per un certo periodo di tempo, in condizioni di incendio normalizzate","L’isolamento, cioè la capacità di un elemento costruttivo o strutturale di impedire il passaggio calore di un incendio normalizzato per un certo periodo di tempo","La tenuta, cioè la capacità di un elemento costruttivo o strutturale di impedire il passaggio di fumi e gas caldi per un certo periodo di tempo, in condizioni di incendio normalizzate"
"Con il simbolo I, utilizzato nella sigla REI (es: REI 60, REI 90), indichiamo la seguente prestazione di resistenza al fuoco","La capacità portante, cioè la capacità di un elemento strutturale di portare i carichi presenti in condizioni di incendio normalizzato, per un certo periodo di tempo","La tenuta, cioè la capacità di un elemento costruttivo o strutturale di impedire il passaggio di fumi e gas caldi per un certo periodo di tempo, in condizioni di incendio normalizzate","L’isolamento, cioè la capacità di un elemento costruttivo o strutturale di impedire il passaggio calore di un incendio normalizzato per un certo periodo di tempo","L’isolamento, cioè la capacità di un elemento costruttivo o strutturale di impedire il passaggio calore di un incendio normalizzato per un certo periodo di tempo"
Con il simbolo REI 60 si identifica un elemento costruttivo che,"deve conservare, per 60 minuti, la capacità portante, la tenuta e l’isolamento termico","deve conservare, per 60 minuti, la capacità portante e la tenuta","deve conservare, per 60 minuti, solo la capacità portante.","deve conservare, per 60 minuti, la capacità portante, la tenuta e l’isolamento termico"
Con il simbolo RE 60 si identifica un elemento costruttivo che,"deve conservare, per 60 minuti, la capacità portante, la tenuta e l’isolamento termico","deve conservare, per 60 minuti, la capacità portante e la tenuta","deve conservare, per 60 minuti, solo la capacità portante.","deve conservare, per 60 minuti, la capacità portante e la tenuta"
Con il simbolo R 60 si identifica un elemento costruttivo che,"deve conservare, per 60 minuti, la capacità portante, la tenuta e l’isolamento termico","deve conservare, per 60 minuti, la capacità portante e la tenuta","deve conservare, per 60 minuti, solo la capacità portante.","deve conservare, per 60 minuti, solo la capacità portante."
La Capacità di Compartimentazione rappresenta,"attitudine di un elemento costruttivo a conservare, sotto l’azione del fuoco, un sufficiente isolamento termico (I) ed una sufficiente tenuta ai fumi e ai gas caldi della combustione (E), nonché tutte le altre eventuali prestazioni se richieste","attitudine di un elemento costruttivo a conservare, sotto l’azione del fuoco, unicamente un sufficiente isolamento termico (I) ","attitudine di un elemento costruttivo a conservare, sotto l’azione del fuoco, unicamente una sufficiente tenuta ai fumi e ai gas caldi della combustione (E)","attitudine di un elemento costruttivo a conservare, sotto l’azione del fuoco, un sufficiente isolamento termico (I) ed una sufficiente tenuta ai fumi e ai gas caldi della combustione (E), nonché tutte le altre eventuali prestazioni se richieste"
Con il termine “compartimento” intendiamo,"parte dell’opera da costruzione delimitata da prodotti o elementi costruttivi idonei a garantire, sotto l’azione del fuoco e per un dato intervallo di tempo, la resistenza al fuoco (EI, …)",parte dell’opera da costruzione nella quale la probabilità di avvio e sviluppo dell’incendio sia resa trascurabile,spazio “cielo libero” avente caratteristiche tali da contrastare temporaneamente la propagazione dell’incendio tra le eventuali opere da costruzione o strutture che lo delimitano,"parte dell’opera da costruzione delimitata da prodotti o elementi costruttivi idonei a garantire, sotto l’azione del fuoco e per un dato intervallo di tempo, la resistenza al fuoco (EI, …)"
